iteration,joint_reward,wh_actor_loss,wh_critic_loss,ret_actor_loss,ret_critic_loss,fill_rate
1,-5.7270045,0.2043140809983015,4332.732284545898,0.5209052855716952,8350.834081338653,7.3406696
2,-13.3533125,0.029825025121681392,20953.095865885418,0.48533619960096286,40600.307762632976,2.0423949
3,-21.156002,0.0046655910555273294,50522.78068033854,0.44767189601845775,98697.26091533688,0.79481006
4,-9.598457,-0.0020497852625946202,4287.82367960612,0.4363174952487362,12880.16235178413,10.277438
5,-11.047961,0.0019581958573932448,14972.037231445312,0.4414847919334334,28589.661555296985,3.412205
6,-18.12213,0.005208668842290838,38016.57869466146,0.7638784693091685,73291.35361258865,2.9131055
7,-12.323525,0.0026058408742149672,10185.843841552734,0.6579844066939244,30182.465744126774,10.819345
8,-9.740365,-0.001459514625215282,11225.526021321615,0.38917019119129537,21298.747160350176,2.1980882
9,-17.035458,0.00037674229436864454,32720.566446940105,0.538187147111546,62839.39361702128,2.5502384
10,-16.153843,0.0011631846621943016,24341.093139648438,0.813831637329455,58311.98509530142,11.744642
11,-7.9985676,0.00421276711858809,7207.883443196614,0.8395504773865249,13709.413619237588,2.5785804
12,-15.011711,-0.0002514796021083991,24626.738688151043,0.9645625592229214,47643.81313718972,3.6483467
13,-19.636711,-0.0010376194453177352,40562.79646809896,0.817016120128175,81820.77205230496,14.378911
14,-6.371381,-0.0001003901707008481,5082.851531982422,0.8151518646693716,9631.701061059397,1.3775349
15,-13.614992,-0.0015959907129096489,21017.281860351562,0.42565778792168657,40765.53366023936,3.2567978
16,-20.627024,-0.001765725629714628,46879.29890950521,0.5823076296307094,91668.07956560283,3.3641756
17,-7.8563695,0.0017670701490715146,3510.3355916341147,2.2606357778587665,7811.429995705896,11.423307
18,-12.157243,0.0026814809534698725,17832.856567382812,0.6221811013652924,33966.80405031028,2.650386
19,-19.133467,0.001235237733150522,41973.26904296875,0.4669098471496122,81102.96625664894,2.657038
20,-11.216829,-0.0004129294150819381,6816.701039632161,0.4291914518367737,21525.233481549203,10.216194
21,-10.58377,0.0008345446937407056,13476.44785563151,0.5659857179890287,25357.1992741578,3.1044662
22,-18.003569,0.0013229480828158557,37243.448893229164,0.5046748417753277,71141.40381205674,2.9881358
23,-14.746159,0.002026537743707498,17984.732096354168,1.5954805591956098,47003.30682070035,11.870396
24,-8.734682,0.0016489982372149825,8596.44906616211,1.9391060014724308,16176.7461214539,1.8813431
25,-15.814201,-0.002932138469380637,27460.670369466145,0.5062575714517359,52610.90433843085,2.2993743
26,-18.05751,0.0053422523390812176,32982.234130859375,0.6561085642546627,70883.8128601507,13.674408
27,-7.186186,-0.0010073145385831594,6080.785756429036,0.4475953874065944,11430.036638408688,1.9153714
28,-14.473556,-0.00019708091470723352,23203.046508789062,0.4911364160266751,44735.52795323582,1.9186854
29,-21.533962,-0.0017011628951877356,50359.96687825521,0.3892532264457104,98087.10366799646,2.5426507
30,-6.1578555,-0.00020180110974858204,3914.0779571533203,0.4923081396425024,7413.70186100953,12.27755
31,-12.561407,-0.0020543827364842096,18605.898315429688,7.621954812040777,35517.912386414006,3.3871293
32,-19.631855,-0.0008394202838341395,43380.030598958336,0.5202089469113671,84009.56477171986,2.5907218
33,-9.819578,-0.0013994243151197832,4437.701080322266,0.5725047719129857,13387.874556737588,10.552263
34,-11.093648,-0.0013738555523256462,14915.807922363281,0.8324479356421329,28002.23911236702,3.121376
35,-18.142878,0.002159993125436207,37907.169189453125,0.4113913221245116,72247.03584884752,3.270483
36,-12.917687,0.0037491656839847565,11435.372589111328,0.4439383816793033,32776.165336879436,10.699743
37,-9.636114,0.0032762659733028463,10697.114624023438,0.7102497128624443,19919.329094636523,2.6649237
38,-16.7591,-0.0007536281870367626,31219.6640625,0.5884257371253367,59420.36920988475,2.716595
39,-16.349379,0.006395341731452693,25027.954996744793,1.0007046250269769,58150.63317265071,12.815947
40,-7.594944,0.002068343533513447,6447.939097086589,0.4397886056743615,12010.434390237146,2.7985513
41,-14.598464,-0.0018333167924235265,23135.8603515625,0.43060887933887065,44309.77011303192,2.3195684
42,-20.040213,0.010162580913553635,41791.94197591146,0.6172406298788726,82156.6597960993,13.76608
43,-6.111996,-0.004662761697545648,4746.101257324219,0.5464658361483128,8772.125096963653,2.1220446
44,-13.3488655,-0.0022371143956358233,20335.858276367188,0.7409360730056221,38859.1562222961,2.8045535
45,-20.283712,-0.0008667824828686813,45342.6650390625,0.7342054154195473,87763.79493572695,3.8622618
46,-8.3351345,0.0002499942008095483,3425.6036275227866,0.7125246521310075,8088.271522467863,11.157549
47,-11.509862,-0.004064336108664672,16014.140808105469,0.4973179358619113,30080.79771996897,3.3281028
48,-18.27055,-0.0005685594902994732,38208.637044270836,0.6400660095300447,73058.43547761525,4.7525525
49,-11.299586,0.002728339187645664,7042.349884033203,0.8383337283203154,21726.113676030585,11.450827
50,-10.0626,0.000948950396074603,12045.832845052084,3.0619864332496274,22256.497811391844,3.4844398
51,-17.21173,-0.0006213946423182884,33583.9091796875,0.8598829909683542,63575.27800864362,3.7230253
52,-14.591758,0.0016528319101780653,17669.335327148438,0.7108266178439272,44840.78003102837,12.60342
53,-8.391928,0.00021486323870097598,7828.518198649089,0.4112287203100979,14429.24824772828,4.465646
54,-15.259789,-0.0022780510674541197,25233.968709309895,0.58032054125153,47940.46420656028,4.16404
55,-18.08264,0.009242014028131962,32719.778361002605,0.5737175020448705,68506.8083998227,15.330786
56,-6.8172107,0.0008522649683679143,5433.964040120442,0.5802103730698004,9960.055054576684,1.8416643
57,-13.825859,-0.007706788290912907,21023.2822265625,0.32851688377559185,40206.85588430851,3.583306
58,-21.096947,-0.00023806566605344415,48397.38427734375,0.8773237984257598,93428.37959884752,3.4632564
59,-6.6324935,-0.0010410657851025462,3438.411636352539,0.9042694581447975,6448.460424977837,12.08601
60,-12.284699,0.00033019896363839507,17891.925740559895,0.47573616952760844,33571.803302304965,3.422141
61,-19.270607,-0.0013529900461435318,41774.912434895836,0.6360404912567308,80058.6598515071,2.3569703
62,-10.165859,0.003126971966897448,4697.3661702473955,1.2488574199312439,14394.536195146276,10.364569
63,-10.610273,0.0011802633913854759,13537.324361165365,0.4663269920472769,24901.97219913564,4.1959705
64,-17.737123,-0.0006428335715706149,35946.30008951823,0.45488406226355976,67876.1519281915,3.4656346
65,-13.306446,0.003484749177005142,12426.864908854166,0.5958801969780144,34554.78479609929,11.242896
66,-9.356322,-2.4971396972735722e-05,9980.240804036459,0.4054260939518188,18262.392508865247,3.1840801
67,-16.516684,0.0027799780558173857,30215.323486328125,0.3687563841330244,56766.98589871454,2.41732
68,-17.075277,0.004164836253039539,27378.793863932293,0.5536968243565965,61907.734181072694,13.206178
69,-7.628432,-0.003605622216127813,6549.014027913411,0.49055321371935784,11920.724886414007,1.9095778
70,-14.821368,0.0008502113244806727,23867.763997395832,1.5803761452912015,45235.31186281028,1.9019127
71,-20.957811,0.011939627273629108,44984.1103515625,0.48498364490397433,86294.54803856384,9.263981
72,-5.8904233,0.0020801223387631276,4517.270772298177,0.539665462924762,8075.487270057624,4.5873823
73,-13.167711,0.001220783218741417,19977.727864583332,0.638760770268157,37556.3671875,2.204132
74,-20.247667,-0.0007456747116521001,45581.06681315104,0.6391680253577148,87308.86192375887,1.4935493
75,-8.905889,-0.0023286087283243737,3502.179270426432,0.5712720094222232,8892.92708679632,10.814041
76,-11.463172,-0.0016252256852264206,15807.109232584635,0.5506595004851936,29181.94691932624,4.405117
77,-18.158016,-0.0015102448718001444,37631.00154622396,0.7558643102698716,71137.57283355496,3.8643181
78,-11.807221,0.0018607902651031811,7937.7792561848955,0.6717364216315831,24031.040821697694,10.808319
79,-9.746929,-0.0011095596322168906,11055.437723795572,0.37389235679350846,20067.041237256206,3.4611464
80,-16.720112,-0.0015023220136451225,31255.599080403645,0.5068660128518199,58510.71941489362,3.9458156
81,-14.902379,0.006481258198618889,18608.945353190105,0.9135716640991522,45587.94625443262,12.911331
82,-8.1307535,0.002397629509990414,7225.722137451172,0.5343052822277479,13023.01196115913,3.5755634
83,-14.953196,0.001898579765111208,24042.917846679688,1.7015345068582406,45108.08361037234,4.1640043
84,-18.506325,0.005744713707827032,33890.58048502604,1.484273778618122,69104.57723847518,15.50138
85,-6.5904436,-0.0036366126344849667,5142.034596761067,0.6008520338631479,9144.272568290115,1.3413727
86,-13.550519,0.0007859203421200315,20286.294392903645,0.42873442619510577,38117.71259973404,2.4956703
87,-20.207598,-0.0018337007689600189,44146.317138671875,0.4936400740704638,84588.9100177305,2.9849768
88,-7.135823,0.008123532248040041,3234.4679667154946,0.5686022469390791,6111.263100482048,11.758364
89,-11.495533,-2.2999088590343792e-05,15521.228963216146,0.6459138849023598,28604.09646498227,4.250443
90,-18.082748,0.0030825838524227342,37031.51953125,0.45329968345926164,69821.04654255319,5.7390633
91,-10.325182,0.0006734830482552449,4812.519337972005,0.8722030869586036,14792.77327820257,11.526167
92,-10.281755,2.6127963792532682e-05,12471.263753255209,0.3829332039499959,22562.563760527482,5.0189075
93,-16.739998,0.0004644130337207268,31679.645263671875,0.5087499391842396,59045.182180851065,6.630558
94,-13.170904,0.0004198397509753704,12239.474609375,0.5946826427540881,33100.98577404699,12.8573475
95,-8.906697,-0.003164519749892255,8805.064168294271,0.6287872857869939,15801.891352227394,2.7512968
96,-15.628476,-0.001532574223044018,26481.881754557293,0.6542180975542423,49350.54756759752,3.813398
97,-16.739065,0.004763684410136193,25939.67167154948,0.5562727727088417,56986.92035128546,14.701295
98,-7.177506,0.00041964460009088117,5756.197652180989,0.8984318503000318,10172.40804382757,3.0531645
99,-13.883151,0.002816676569636911,20820.975016276043,0.5104788088550171,38868.26482158688,4.179698
100,-20.490065,0.002828373263279597,42430.372395833336,0.5447600799487203,79396.5349069149,8.112204
101,-5.369748,-0.0018822072306647897,3765.973658243815,0.5540000186797153,6513.01173260195,7.9588294
102,-12.122847,0.0036649954272434115,16898.85868326823,1.036273295310795,31147.915406139186,4.5525494
103,-18.55831,0.00020046912444134554,38149.662272135414,0.441228178395817,72240.65769060283,5.446589
104,-8.935337,-0.0027910257728459933,3328.2952626546225,1.1790799376759546,8789.215927665115,11.822867
105,-10.971284,-0.0034051529170634844,14234.495442708334,0.46552328052038844,25816.21045268174,3.743428
106,-17.30262,-4.897705124070247e-05,33971.177083333336,0.509613092539581,63290.70254321808,4.843992
107,-11.904293,0.0023105546521643796,8157.3369547526045,0.42427588415378376,23989.675130208332,11.587435
108,-9.290567,-0.004752334828178088,9746.047668457031,0.43551975975460405,17367.328062666224,4.1413307
109,-15.874805,-0.0015879637212492526,27898.909423828125,0.5558867565759108,51524.96775265958,4.4592857
110,-14.982239,0.004043166680882375,18765.167032877605,0.6718122943284663,44776.62782579787,13.709545
111,-7.7299166,0.0032820379710756242,6440.927388509114,0.46388429210435417,11295.885963818706,4.2178926
112,-14.371554,0.0037206376631123326,22180.771158854168,0.4911999083949742,41022.67733266844,5.164176
113,-18.41222,0.009109868047138056,33013.90193684896,0.5521569903015245,65862.76351950354,16.31725
114,-6.212507,-0.0010483465157449245,4596.427876790364,0.4543804031473102,7924.514038951685,2.1494806
115,-12.958683,-0.002047950227279216,18643.086568196613,0.7682338180482811,34564.86256094858,4.178798
116,-19.213957,0.001890220291291674,40055.998291015625,0.7251792584697828,75768.5972960993,4.9836993
117,-7.574315,-0.001270091316352288,3070.294199625651,0.39151738844283507,5995.72381981383,11.69982
118,-11.475222,0.002465682744514197,15539.393697102865,0.5035537610768427,28122.07891456117,3.8434267
119,-18.153091,-0.0016205120094430943,37203.64054361979,0.6716903419372566,69675.35981826241,3.9304972
120,-10.734795,0.003034412278793752,5319.153706868489,1.465604049952846,16343.215764904699,11.200171
121,-9.995308,0.0003627506472791235,11623.715352376303,0.6006388195017551,20616.151761968085,4.256707
122,-16.686253,-0.00159158210347717,31256.465169270832,0.41667296623824335,57637.95234929078,5.3406
123,-13.604184,0.005961187765933573,13455.608378092447,0.5115800968879927,34855.4667137633,12.805921
124,-8.352502,-6.823098131765921e-05,7531.977030436198,0.4021395160057021,13165.240449080231,5.3414106
125,-14.870843,0.001431035731608669,23831.902465820312,0.6702790596383683,43733.745872118794,6.2363625
126,-16.767227,0.006077184128419806,25902.966552734375,0.4184698207792661,55400.71030031028,16.94879
127,-7.1410055,-0.004355319620420535,5694.957295735677,0.48552944128077924,9847.092496398493,2.9483914
128,-13.769444,0.0007615762297064066,20428.857014973957,0.4672576091285293,37698.557208554965,5.169076
129,-20.24492,-0.003095337189733982,43624.99853515625,0.4760947347162886,82431.91129210993,4.692471
130,-5.9380445,-0.0010242904342400532,3450.6356353759766,0.516046357519449,5936.520840259309,12.716782
131,-11.892108,0.0029604720087566725,16325.121012369791,0.536911504924403,29535.850052637412,6.2161684
132,-18.444517,-0.003319413672822217,37703.98055013021,0.4882762053756849,70685.81122562056,4.4225216
133,-9.467531,-0.0023122925388937197,3517.886713663737,0.45934426064556794,9878.718608017509,11.408305
134,-10.62485,-0.0006363713182508945,13314.984008789062,1.0345584204063771,23625.951878324468,3.9485216
135,-17.364506,-0.002123538695741445,34016.19413248698,0.4593343310692209,62755.22772606383,3.9271712
136,-12.373927,0.0018270820534477632,9098.374064127604,5.1856170160867645,26028.369223736703,11.66122
137,-9.2276745,-0.00010819791350513697,9570.712585449219,0.6578049225111803,16686.651464151153,4.343736
138,-15.991355,0.00018086427977929512,28042.594360351562,0.39340879124794026,51266.08890181738,4.369545
139,-15.663714,0.0053728370112366974,20849.10302734375,0.6147494413328509,48113.351285460994,13.994402
140,-7.595449,-0.0007691225813080867,6161.823170979817,0.4078341107287094,10538.282780640515,3.955114
141,-14.134864,-0.0006410715674671034,21188.951009114582,0.722950279606995,38772.70387300532,5.3868713
142,-19.08454,0.00974141612338523,35158.8350016276,0.39812579864622855,68275.60762965426,15.050292
143,-5.882819,-0.0016185379742334287,4164.922866821289,0.8319396816246899,6916.979028147163,2.9491127
144,-12.536499,-0.00016443602119882902,17495.32773844401,0.3806845513667832,31751.657219636523,5.2712736
145,-19.124872,0.0013818702039619286,39766.06241861979,0.5097407858211098,74442.1444481383,6.335038
146,-8.051581,-0.0008975148860675594,2905.108373006185,0.5320238130272809,6056.918855274823,11.867362
147,-11.324424,0.002067035859605918,15187.783711751303,0.857417854249266,26984.232671210106,3.558731
148,-17.87237,-0.0008981727684537569,35999.95613606771,0.4436694040551042,66497.89649822695,3.4757018
149,-11.1853,-0.0002457606994236509,5883.4300537109375,0.46410102584788987,17970.603841145832,11.107206
150,-9.709669,-0.00048734430068482953,10800.089823404947,0.48600946564940695,18766.067472850176,3.7377954
151,-16.490927,-0.0027667870939088366,30294.842692057293,0.9124610363935114,55139.18910682624,4.350919
152,-14.185432,0.001007824088446796,14935.712117513021,0.8104326948259316,37671.88008366578,13.390356
153,-8.30075,0.0010471655211100976,7343.896311442058,0.41190956326875283,12509.372749058068,4.4405103
154,-14.768797,0.0005822603513176242,23099.920532226562,0.7799578467317929,41974.440131870564,4.110199
155,-17.324911,0.002034103982926657,27523.280192057293,1.5685649687913081,57254.5781527039,15.265978
156,-6.7545037,-0.0006648727770273884,5096.634511311849,0.5291043108078182,8476.43709829344,2.9273093
157,-13.547338,0.0010281627958950896,19859.2431640625,0.42527497876831827,36092.9022883422,4.6880603
158,-20.039064,-0.0026733602474754057,42716.42472330729,0.5339734639628981,80067.99069148937,5.652398
159,-6.51658,0.0008709745986076692,3204.2999979654946,0.5577095939071043,5478.250824191046,12.116289
160,-11.659947,0.0010550308118884761,15553.606486002604,0.7543091445315814,27690.540807845744,3.2188952
161,-17.933298,-0.0005394461622927338,35659.738606770836,0.5077872621886274,65905.5503656915,4.742795
162,-9.670847,-0.0002422464507011076,3589.0137074788413,0.49704935219376645,10390.229596077128,10.97747
163,-10.233896,0.0007682441112895807,12192.008280436197,0.5998910414781553,21137.087475066488,4.5338335
164,-16.780977,-0.004449445094602804,31600.356404622395,0.48259548573417865,57564.09491356383,5.5959044
165,-12.621756,-0.003269223244084666,9609.452819824219,0.45431475499843027,26882.03202570922,12.833214
166,-8.872821,0.0008883635358264049,8565.903289794922,0.730415447238595,14567.455549091312,4.149312
167,-15.34234,-0.0023893093845496574,25388.733072916668,1.8111893294762211,45881.348986037236,6.0960474
