iteration,mean_reward,actor_loss,critic_loss,entropy,fill_rate
135,-1283.0334,-0.0007512851828528989,20202.87166078629,8.944818504395023,2.831757
136,-1274.8839,-0.0012519046093427365,17572.81896578881,9.050832248503163,8.333588
137,-1274.8839,-0.0007066171270825209,43501.7730594758,9.05963614679152,4.265827
138,-1287.5309,8.382399626556904e-05,11479.626330960182,9.073624664737332,7.5794935
1,0.0,0.29727348904576034,29862.999338457663,8.71997033780621,3.4204543
139,-1253.3715,-0.000683658876486363,31447.623661164314,9.043252960328132,7.5611887
2,-1757.5178,0.011241682219289003,61402.9254032258,9.231034786470476,5.3622246
140,-1253.3715,-0.0014887314980789538,31377.698793472784,9.08257306006647,2.7764082
3,-1757.5178,0.004046392484357761,48622.553017893144,9.237838706662577,2.2956789
141,-1265.0693,-0.0003527893474505794,10670.31845388105,9.196342445188954,8.515996
4,-1434.2634,0.0034086162960457224,14595.547843686996,9.250788119531446,6.8015995
142,-1272.6174,-0.0013152971458170683,42323.50179561492,9.210889993175384,8.473701
5,-1417.8982,0.00047431814093743603,56632.95728326613,9.27877603807757,7.1279645
143,-1272.6174,-0.0011387171388994302,18314.771594632057,9.22928935481656,2.6766002
6,-1417.8982,0.001222341291366085,30114.048481602822,9.304387115663097,2.1317482
144,-1294.6228,0.00020986167533743765,22204.3392609627,9.236603190821986,7.4659767
7,-1407.6208,0.00226551077268537,25906.53685735887,9.33184810607664,7.607442
145,-1294.6228,-0.002426924018730079,42130.89103452621,9.204407392009612,2.6288748
8,-1407.6208,-0.0004339339436903115,63332.918661794356,9.30404895351779,2.6526093
146,-1269.2688,-0.0013989924242900265,10350.018720073085,9.233495912244242,7.3085666
9,-1419.7941,-0.001119517030254487,16630.952589465727,9.328546062592537,6.861043
147,-1283.6597,-0.00022958497697066877,35949.399067540326,9.260647727597144,8.204299
10,-1403.0442,0.0005665454683044265,42362.57976310484,9.343936381801482,6.2935295
148,-1283.6597,-0.00024823426839805417,27021.348270539314,9.268714612530124,2.9436827
11,-1403.0442,-0.0008530564636232391,41611.66557459677,9.414595011741884,2.173978
149,-1259.1619,-0.0005457052029669285,13137.906950919858,9.288103326674431,7.6135216
12,-1420.7113,-0.0012695735410576867,15350.215576171875,9.401280303155222,7.4028673
150,-1306.0876,-0.00017902319650015523,46911.4898563508,9.303129965259183,4.333764
13,-1415.4172,-0.0011194689169285758,58481.126260080644,9.453340730359477,8.82678
151,-1306.0876,-0.0009823145885621348,14794.735201927924,9.272565657092679,6.2758503
14,-1415.4172,-0.0001018274680621201,24540.151004914314,9.504874283267606,2.408594
152,-1211.2014,-0.0016451061462923403,25122.938744329636,9.250328871511645,7.8889728
